Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
MABEL,2026-03-19,745.0,764.0,740.0,753.0,1.07,25650.0,927.0,317.7
MAKAR,2026-03-19,544.0,555.0,544.0,548.1,0.75,15417.0,802.0,515.0
MANDU,2026-03-19,820.0,840.0,818.0,831.9,1.45,2819.0,970.0,766.5
MATRI,2026-03-19,980.0,989.0,965.0,989.0,0.92,2102.0,1347.0,904.0
MBJC,2026-03-19,315.0,332.1,311.0,320.0,1.59,233722.0,371.0,270.0
MBL,2026-03-19,247.5,268.0,247.5,266.6,7.72,641203.0,272.1,205.0
MBLEF,2026-03-19,10.25,10.4,10.25,10.32,0.68,5000.0,10.69,8.59
MCHL,2026-03-19,414.0,432.0,414.0,426.0,2.9,18719.0,641.0,392.0
MDB,2026-03-19,662.9,682.0,650.5,666.0,0.47,60647.0,729.7,530.5
MEHL,2026-03-19,490.0,491.6,477.2,480.0,-2.04,37372.0,582.0,372.4
MEL,2026-03-19,306.0,312.0,303.0,307.0,0.33,110550.0,350.0,255.0
MEN,2026-03-19,616.0,629.0,615.0,629.0,2.11,92106.0,683.4,535.0
MERO,2026-03-19,733.0,769.0,727.0,745.0,1.64,42165.0,1000.0,668.0
MFIL,2026-03-19,838.0,870.0,838.0,854.0,1.91,120563.0,918.0,545.0
MFLD85,2026-03-19,1163.7,1163.7,1163.7,1163.7,0.0,25.0,1201.0,1051.8
MHCL,2026-03-19,380.0,397.0,380.0,393.2,3.47,63786.0,553.0,325.0
MHL,2026-03-19,562.9,574.0,558.9,561.0,-0.34,45042.0,785.0,445.0
MHNL,2026-03-19,313.8,324.0,302.2,323.5,3.09,216889.0,324.0,226.0
MKCL,2026-03-19,1390.0,1404.0,1383.0,1387.0,-0.22,5047.0,1900.0,1333.0
MKHC,2026-03-19,361.0,367.1,358.0,361.1,0.03,104969.0,546.0,310.7
MKHL,2026-03-19,797.5,826.0,797.5,825.0,3.45,5894.0,1027.0,652.0
MKJC,2026-03-19,536.9,555.9,536.9,547.0,1.88,72319.0,635.0,475.5
MLBBL,2026-03-19,1335.0,1368.9,1335.0,1357.0,1.65,3814.0,2019.0,1285.0
