Symbol,Date,Open,High,Low,Close,Volume
ACLBSL,1/11/2023,889,906.7,870,870,"4,876.00"
ACLBSL,1/10/2023,889,906.7,870,870,"4,876.00"
ACLBSL,1/9/2023,900,900,875,890.8,"2,271.00"
ACLBSL,1/8/2023,861,899,861,887,"2,453.00"
ACLBSL,1/7/2023,890,900,863,878,"2,718.00"
ACLBSL,1/6/2023,890,900,863,878,"2,718.00"
ACLBSL,1/5/2023,890,900,863,878,"2,718.00"
ACLBSL,1/4/2023,803,882.2,803,880,"3,921.00"
ACLBSL,1/3/2023,788,820,788,802,"2,178.00"
ACLBSL,1/2/2023,746,830,746,795,"1,171.00"
ACLBSL,1/1/2023,750,775,750,760,"2,113.00"
ACLBSL,12/31/2022,735.1,750,730,740,"1,142.00"
ACLBSL,12/30/2022,735.1,750,730,740,"1,142.00"
ACLBSL,12/29/2022,735.1,750,730,740,"1,142.00"
ACLBSL,12/28/2022,754,754,725.2,732,897
ACLBSL,12/27/2022,740,754,712,740,"1,539.00"
ACLBSL,12/26/2022,715.5,726,702,726,"2,196.00"
ACLBSL,12/25/2022,701,702,692,702,554
ACLBSL,12/24/2022,701,702,692,702,554
ACLBSL,12/23/2022,701,702,692,702,554
ACLBSL,12/22/2022,701,702,692,702,554
ACLBSL,12/21/2022,696,720,696,701,406
ACLBSL,12/20/2022,700,708,695,696,315
ACLBSL,12/19/2022,675,700,675,700,143
ACLBSL,12/18/2022,690,695,687.5,688,"1,091.00"
ACLBSL,12/17/2022,724,724,696,701.5,285
ACLBSL,12/16/2022,724,724,696,701.5,285
ACLBSL,12/15/2022,724,724,696,701.5,285
ACLBSL,12/14/2022,710,721,709,710,177
ACLBSL,12/13/2022,723,725,709,709.1,506
ACLBSL,12/12/2022,691,710,691,709,225
ACLBSL,12/11/2022,701,713.9,700.9,701,473
ACLBSL,12/10/2022,709,715,709,715,189
ACLBSL,12/9/2022,709,715,709,715,189
ACLBSL,12/8/2022,709,715,709,715,189
ACLBSL,12/7/2022,709,715,709,715,189
ACLBSL,12/6/2022,700.1,722,700.1,720,247
ACLBSL,12/5/2022,711,720,710,711,315
ACLBSL,12/4/2022,713,727.9,713,721,395
ACLBSL,12/3/2022,720,725,715,725,760
ACLBSL,12/2/2022,720,725,715,725,760
ACLBSL,12/1/2022,720,725,715,725,760
ACLBSL,11/30/2022,721,725,712,712,149
ACLBSL,11/29/2022,716.1,728,715,726,"1,093.00"
ACLBSL,11/28/2022,740,740,715,726.9,548
ACLBSL,11/27/2022,708,729,706.1,727,"1,406.00"
ACLBSL,11/26/2022,695,725,695,695,625
ACLBSL,11/25/2022,695,725,695,695,625
ACLBSL,11/24/2022,695,725,695,695,625
ACLBSL,11/23/2022,705,705,692.1,705,190
ACLBSL,11/22/2022,710,720,705,705,656
ACLBSL,11/21/2022,720,734.5,707,710,"1,199.00"
ACLBSL,11/20/2022,720,734.5,707,710,"1,199.00"
ACLBSL,11/19/2022,720,734.5,707,710,"1,199.00"
ACLBSL,11/18/2022,720,734.5,707,710,"1,199.00"
ACLBSL,11/17/2022,720,734.5,707,710,"1,199.00"
ACLBSL,11/16/2022,697,711,697,706,133
ACLBSL,11/15/2022,708.9,708.9,696,697.1,264
ACLBSL,11/14/2022,710,710,690,695,580
ACLBSL,11/13/2022,710,710,697.4,698.1,231
ACLBSL,11/12/2022,710,715,700,700.1,"1,114.00"
ACLBSL,11/11/2022,710,715,700,700.1,"1,114.00"
ACLBSL,11/10/2022,710,715,700,700.1,"1,114.00"
ACLBSL,11/9/2022,725.2,725.2,711,713,"1,389.00"
ACLBSL,11/8/2022,745,758,740,740,486
ACLBSL,11/7/2022,757,785,726,759,"1,506.00"
ACLBSL,11/6/2022,720,782,720,766.4,"2,184.00"
ACLBSL,11/5/2022,740,744,720,720,245
ACLBSL,11/4/2022,740,744,720,720,245
ACLBSL,11/3/2022,740,744,720,720,245
ACLBSL,11/2/2022,740,740,727,730,"1,073.00"
ACLBSL,11/1/2022,718,735,710.1,731,681
ACLBSL,10/31/2022,707,720,707,719,519
ACLBSL,10/30/2022,711.9,720,699.1,720,800
ACLBSL,10/29/2022,711.9,720,699.1,720,800
ACLBSL,10/28/2022,711.9,720,699.1,720,800
ACLBSL,10/27/2022,711.9,720,699.1,720,800
ACLBSL,10/26/2022,711.9,720,699.1,720,800
ACLBSL,10/25/2022,711.9,720,699.1,720,800
ACLBSL,10/24/2022,711.9,720,699.1,720,800
ACLBSL,10/23/2022,711.9,720,699.1,720,800
ACLBSL,10/22/2022,711,711,698,698,243
ACLBSL,10/21/2022,711,711,698,698,243
ACLBSL,10/20/2022,711,711,698,698,243
ACLBSL,10/19/2022,712.1,718.9,698.4,698.4,"1,252.00"
ACLBSL,10/18/2022,705,719,705,712,438
ACLBSL,10/17/2022,705,719,705,712,438
ACLBSL,10/16/2022,735,735,713.5,715,274
ACLBSL,10/15/2022,725,725,712.6,724,256
ACLBSL,10/14/2022,725,725,712.6,724,256
ACLBSL,10/13/2022,725,725,712.6,724,256
ACLBSL,10/12/2022,716,719.4,708.1,714.5,305
ACLBSL,10/11/2022,712,716,712,716,65
ACLBSL,10/10/2022,722,735,707.6,707.6,995
ACLBSL,10/9/2022,720,736.5,720,721,457
ACLBSL,10/8/2022,715,719,702,708,994
ACLBSL,10/7/2022,715,719,702,708,994
ACLBSL,10/6/2022,715,719,702,708,994
ACLBSL,10/5/2022,715,719,702,708,994
ACLBSL,10/4/2022,715,719,702,708,994
ACLBSL,10/3/2022,715,719,702,708,994
ACLBSL,10/2/2022,715,719,702,708,994
ACLBSL,10/1/2022,715,719,702,708,994
ACLBSL,9/30/2022,715,719,702,708,994
ACLBSL,9/29/2022,715,719,702,708,994
ACLBSL,9/28/2022,710,718,705,710.1,828
ACLBSL,9/27/2022,702,715,696,697,614
ACLBSL,9/26/2022,691,702,691,701.9,753
ACLBSL,9/25/2022,691,702,691,701.9,753
ACLBSL,9/24/2022,700.7,715,688.2,705,740
ACLBSL,9/23/2022,700.7,715,688.2,705,740
ACLBSL,9/22/2022,700.7,715,688.2,705,740
ACLBSL,9/21/2022,715.1,729.4,710.1,715,387
ACLBSL,9/20/2022,722.3,723.9,707,708,"1,324.00"
ACLBSL,9/19/2022,752,752,735,737,986
ACLBSL,9/18/2022,752,752,735,737,986
ACLBSL,9/17/2022,747.8,765,745,752,450
ACLBSL,9/16/2022,747.8,765,745,752,450
ACLBSL,9/15/2022,788,800,755,763,"1,058.00"
ACLBSL,9/14/2022,781,812,772,787,936
ACLBSL,9/13/2022,760,777.3,755,766,747
ACLBSL,9/12/2022,760.1,775,760.1,762.1,211
ACLBSL,9/11/2022,780,784,765.3,769,370
ACLBSL,9/10/2022,790,800,759.6,772,359
ACLBSL,9/9/2022,790,800,759.6,772,359
ACLBSL,9/8/2022,790,800,759.6,772,359
ACLBSL,9/7/2022,770,797.5,767,775,"1,247.00"
ACLBSL,9/6/2022,784.5,794,772,782,553
ACLBSL,9/5/2022,814,814,800,800,406
ACLBSL,9/4/2022,790,814,790,814,303
ACLBSL,9/3/2022,813,815,796.8,800,388
ACLBSL,9/2/2022,813,815,796.8,800,388
ACLBSL,9/1/2022,785,799.9,776.1,798,894
ACLBSL,8/31/2022,785,791.9,778,785.1,650
ACLBSL,8/30/2022,802.7,818.7,789.9,789.9,"1,424.00"
ACLBSL,8/29/2022,781.1,799,781.1,787,656
ACLBSL,8/28/2022,800,830,790.4,796,883
ACLBSL,8/27/2022,815,816,806.1,815,287
ACLBSL,8/26/2022,815,816,806.1,815,287
ACLBSL,8/25/2022,820.1,834,818.1,818.1,"1,448.00"
ACLBSL,8/24/2022,840,840,825,826,442
ACLBSL,8/23/2022,855,855,811,828,"1,764.00"
ACLBSL,8/22/2022,831.2,855,821,840,"1,809.00"
ACLBSL,8/21/2022,860,865,847,848,"1,691.00"
ACLBSL,8/20/2022,827,859.8,827,859.8,"2,061.00"
ACLBSL,8/19/2022,827,859.8,827,859.8,"2,061.00"
ACLBSL,8/18/2022,827,859.8,827,859.8,"2,061.00"
ACLBSL,8/17/2022,840,852,821.3,827,713
ACLBSL,8/16/2022,859,889.9,836,838,"1,065.00"
ACLBSL,8/15/2022,840,860,832,859,777
ACLBSL,8/14/2022,865,870,840,840,868
ACLBSL,8/13/2022,888,891,865,870,897
