Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
SHLB,2026-03-19,1644.4,1644.4,1625.0,1644.0,1.42,911.0,1961.0,1220.0,1621.2635303920174,1620.7146673314076,63.08724832214765,511.73333333333335,0.729367816276681,0.24413591789857492,True
BBC,2026-03-19,4910.0,4910.0,4794.0,4858.0,0.31,872.0,5600.0,3825.0,4775.119970675991,4774.736883391852,63.88888888888888,713.8666666666667,10.15590069000209,3.495334663580252,True
MKJC,2026-03-08,519.0,538.0,519.0,538.0,0.0,15561.0,635.0,252.0,532.6647900942014,532.4686456375174,66.07142857142857,40565.53333333333,0.692947107441455,0.24496746363502098,True
MNBBL,2026-03-04,366.0,374.0,362.0,371.0,0.0,43932.0,467.0,314.2,363.5527296904455,363.5007241097845,65.30612244897956,59762.8,0.3688692214894672,0.11131158038667763,True
NYADI,2026-03-04,394.0,405.0,393.0,405.0,0.0,12115.0,482.0,335.3,398.9123450889311,398.81004092754034,56.830601092896174,15743.133333333333,-0.009358909130173742,-0.017854087341800096,True
UPCL,2026-03-04,360.7,380.3,360.7,378.5,0.0,111888.0,430.4,318.4,372.471533979922,372.4551554927094,54.02298850574712,185508.46666666667,0.009546324053883382,-0.014284950805904372,True
PFL,2026-03-02,375.0,387.0,373.0,384.0,1.05,21925.0,443.0,351.6,377.1316182490255,376.83825925905165,50.343249427917634,22837.266666666666,0.2940095846192435,0.09916009191289277,True
OHL,2026-02-04,740.0,744.0,712.0,732.5,0.34,7773.0,785.0,590.0,716.5139222948653,716.3655065114349,63.376251788268945,6311.4,0.4602439823295981,0.1339045739747462,True
SJCL,2026-01-26,295.0,302.8,294.1,296.5,-0.94,24357.0,365.0,214.2,289.15241017484664,289.0322845423871,64.02266288951839,11611.266666666666,0.7120081978972734,0.23715763614329716,True
RHPL,2026-01-26,293.7,294.0,283.6,289.9,-0.38,74347.0,325.0,156.0,277.9010361708797,277.4591822779998,60.8222490931076,32327.366666666665,0.8318734780114369,0.28290480699268983,True
UMRH,2026-01-25,578.0,596.0,578.0,584.0,1.39,55072.0,622.0,500.7,563.3271854169338,563.2575934518801,64.10658307210032,28829.433333333334,0.8943334006596615,0.2679261531120801,True
DHPL,2026-01-25,306.1,316.0,306.1,314.9,3.08,35811.0,345.0,254.0,296.5799403879877,296.4434675453166,67.21014492753625,9837.033333333333,1.0356527340978459,0.3358916440523444,True
JFL,2026-01-21,465.0,468.1,442.0,451.0,-1.74,40246.0,492.0,250.1,431.07990330772134,430.17959639748295,68.88888888888889,17570.6,2.1496663357464514,0.7407022517419023,True
ALICL,2026-01-21,494.4,494.4,486.2,487.7,-0.47,42229.0,505.0,381.4,472.58429151705275,471.6490482374879,69.12350597609557,41761.63333333333,1.2765308230403094,0.45565583046679875,True
GBBL,2026-01-21,411.0,411.0,398.9,400.0,-1.72,31303.0,460.0,367.4,390.0087218064904,389.9372657086202,65.625,22986.566666666666,1.1742422187254988,0.3880996473792152,True
BFC,2026-01-21,485.5,493.9,479.0,484.0,-0.31,41449.0,562.0,418.0,470.0312626381667,469.618518788611,63.12785388127853,34348.666666666664,1.3348009441708655,0.44659716103861913,True
